design_id,baseline_mode,workload_motif,package_class,interface_class,cost,energy,cycle,is_pareto_front,status
paper_full_bootstrap_001,Joint,cnn_inference,OS,XSR,141588898079.086090,10349951.799590,13680,true,bootstrap_observed
paper_full_bootstrap_009,Joint,long_context_prefill,FO,UCIe,78548583442835275776.000000,53984553018.319183,1455003608,false,bootstrap_observed
paper_full_bootstrap_017,Joint,kv_heavy_decode,SI,UCIe,1708273706022.665283,49362969.289100,34606,false,bootstrap_observed
paper_full_bootstrap_025,Joint,cnn_inference,SI,USR,28864560210.023560,44889957.547980,643,true,bootstrap_observed
paper_full_bootstrap_033,Joint,long_context_prefill,FO,UCIe,53988140144007038631936.000000,1788731170820.902344,30182034708,false,bootstrap_observed
paper_full_bootstrap_041,Joint,dense_decoder_block,OS,XSR,18540258361095592.000000,2482982701.736660,7466848,false,bootstrap_observed
paper_full_bootstrap_049,Joint,mixtral_moe_trace,SI,UCIe,1860231906923198976.000000,16826561538.155251,110552084,false,bootstrap_observed
paper_full_bootstrap_057,Joint,megatron_collective_trace,FO,UCIe,12629565561167011840.000000,160881116164.037903,78501610,false,bootstrap_observed
