workload_motif,observed_design_id,joint_design_id,memory_class,memory_bandwidth_gbps,memory_off_supported,winner_changed_vs_joint,cost_delta_pct,energy_delta_pct,latency_delta_pct,edp_delta_pct,status,notes
cnn_inference,paper_full_bootstrap_032,paper_full_bootstrap_025,GDDR6X,512,true,false,26.848554,10.491954,13.219285,25.098199,bootstrap_observed,Memory-off rows compare the Memory-off winner against the Joint winner when both baselines are present.
dense_decoder_block,paper_full_bootstrap_048,paper_full_bootstrap_041,GDDR6X,160,true,false,14.677059,-1.185258,14.451198,13.094656,bootstrap_observed,Memory-off rows compare the Memory-off winner against the Joint winner when both baselines are present.
kv_heavy_decode,paper_full_bootstrap_024,paper_full_bootstrap_017,GDDR6X,256,true,false,22.681066,9.740211,10.249668,20.988218,bootstrap_observed,Memory-off rows compare the Memory-off winner against the Joint winner when both baselines are present.
long_context_prefill,paper_full_bootstrap_016,paper_full_bootstrap_009,GDDR6X,128,true,false,11.184516,-3.192771,13.266651,9.650306,bootstrap_observed,Memory-off rows compare the Memory-off winner against the Joint winner when both baselines are present.
megatron_collective_trace,paper_full_bootstrap_064,paper_full_bootstrap_057,GDDR6X,512,true,false,20.748067,1.160528,17.715767,19.081891,bootstrap_observed,Memory-off rows compare the Memory-off winner against the Joint winner when both baselines are present.
mixtral_moe_trace,paper_full_bootstrap_056,paper_full_bootstrap_049,GDDR6X,512,true,false,28.935252,11.152305,14.398080,27.156104,bootstrap_observed,Memory-off rows compare the Memory-off winner against the Joint winner when both baselines are present.
