capacity_case,winner_agreement,precision,recall,boundary_drift,status
nominal,1.000000,1.000000,1.000000,0.000000,projected_decision_preservation
minus_15_percent,1.000000,1.000000,1.000000,0.000000,projected_decision_preservation
plus_15_percent,1.000000,1.000000,1.000000,0.000000,projected_decision_preservation
